"state","category","log_or_high","log_or_low","disparity_spread"
"Hawaii","moved_out",1.45731511989128,-1.5043992770245,2.96171439691578
"Hawaii","not_determined",0.438097592855004,-0.393906210619607,0.832003803474611
"Hawaii","not_eligible",0.349320262645343,-1.21738605226163,1.56670631490697
"Hawaii","part_b_eligible",1.76254874297769,-0.181895093331391,1.94444383630908
"Hawaii","withdrawn",0.0796143854109381,-0.26075964497042,0.340374030381358
"Idaho","dismissed",0.67442390753306,-0.616618780191044,1.2910426877241
"Idaho","moved_out",1.27007537852303,-0.622982072864596,1.89305745138762
"Idaho","not_determined",0.129063293830435,-0.148824157542923,0.277887451373358
"Idaho","not_eligible",0.154134493815377,-0.491245638683444,0.645380132498821
"Idaho","part_b_eligible",0.183587167937699,-0.464794570174422,0.648381738112121
"Idaho","withdrawn",0.187581146469866,-0.487248598248345,0.674829744718211
